IBGE;NU_IDENTIFICADOR;Q_completo;q40_3;q40_8;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;estado;DataCenso;DataCenso_2019;q40_2_rec;Idade;Faixas_etarias;d_40_8;d_40_11;d_40_8bin1;d_40_8bin2;d_40_8bin3;d_40_10bin1;d_40_10bin2;d_40_10bin3;d_40_10bin4;d_40_10bin5;d_40_11bin1;d_40_11bin2;d_40_11bin3;d_40_11bin4;d_40_8bin1_sum;d_40_8bin2_sum;d_40_8bin3_sum;d_40_10bin1_sum;d_40_10bin2_sum;d_40_10bin3_sum;d_40_10bin4_sum;d_40_10bin5_sum;d_40_11bin1_sum;d_40_11bin2_sum;d_40_11bin3_sum;d_40_11bin4_sum;nu_trabalhadores;filter_$
315220;3152203501228; ;1;257;273;363;218;18;01/04/2011;3152204;31;3;Porteirin;37627;19338;18289;Pequeno II;1749,683;2;31.08.2019;8/31/2019;4/28/1986;33;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;5;7;1;1;0;0;2;0;0;0;12;12;0
315220;3152203501228; ;1;257;238;363;217;20;11/02/2019;3152204;31;3;Porteirin;37627;19338;18289;Pequeno II;1749,683;2;31.08.2019;8/31/2019;11/28/1983;35;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;5;7;1;1;0;0;2;0;0;0;12;12;0
315220;3152203501228; ;1;257;274;363;218;18;11/02/2019;3152204;31;3;Porteirin;37627;19338;18289;Pequeno II;1749,683;2;31.08.2019;8/31/2019;3/4/1989;30;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1;0;5;7;1;1;0;0;2;0;0;0;12;12;0
315220;3152203501228; ;1;257;274;363;254;263;11/02/2019;3152204;31;3;Porteirin;37627;19338;18289;Pequeno II;1749,683;2;31.08.2019;8/31/2019;7/3/1985;34;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1;0;5;7;1;1;0;0;2;0;0;0;12;12;0
315220;3152203501228; ;2;255;239;363;217;272;20/02/2019;3152204;31;3;Porteirin;37627;19338;18289;Pequeno II;1749,683;2;31.08.2019;8/31/2019;11/13/1987;31;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;5;7;1;1;0;0;2;0;0;0;12;12;0
315220;3152203501228; ;2;256;237;363;217;272;20/02/2019;3152204;31;3;Porteirin;37627;19338;18289;Pequeno II;1749,683;2;31.08.2019;8/31/2019;4/17/1991;28;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;5;7;1;1;0;0;2;0;0;0;12;12;0
315220;3152203501228; ;1;257;275;363;21;263;02/01/2018;3152204;31;3;Porteirin;37627;19338;18289;Pequeno II;1749,683;2;31.08.2019;8/31/2019;7/3/1985;34;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;0;5;7;1;1;0;0;2;0;0;0;12;12;0
315220;3152203501228; ;2;255;238;363;254;263;18/02/2019;3152204;31;3;Porteirin;37627;19338;18289;Pequeno II;1749,683;2;31.08.2019;8/31/2019;4/10/1999;20;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;5;7;1;1;0;0;2;0;0;0;12;12;0
315220;3152203501228; ;1;257;238;363;217;18;11/02/2019;3152204;31;3;Porteirin;37627;19338;18289;Pequeno II;1749,683;2;31.08.2019;8/31/2019;11/13/1964;54;4;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;5;7;1;1;0;0;2;0;0;0;12;12;0
315220;3152203501228; ;1;257;233;363;218;272;01/04/2011;3152204;31;3;Porteirin;37627;19338;18289;Pequeno II;1749,683;2;31.08.2019;8/31/2019;1/25/1969;50;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;5;7;1;1;0;0;2;0;0;0;12;12;0
315230;3152303501117; ;1;257;278;142;218;272;01/07/2016;3152303;31;3;Porto Fir;10417;4831;5586;Pequeno I;284,777;2;31.08.2019;8/31/2019;9/5/1978;40;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;4;6;3;1;0;0;1;2;0;0;10;12;0
315230;3152303501117; ;1;257;273;266;218;272;01/06/2017;3152303;31;3;Porto Fir;10417;4831;5586;Pequeno I;284,777;2;31.08.2019;8/31/2019;2/6/1982;37;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1;2;4;6;3;1;0;0;1;2;0;0;10;12;0
315230;3152303501117; ;1;257;275;142;349;272;01/07/2016;3152303;31;3;Porto Fir;10417;4831;5586;Pequeno I;284,777;2;31.08.2019;8/31/2019;10/6/1983;35;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;2;4;6;3;1;0;0;1;2;0;0;10;12;0
315230;3152303501117; ;1;257;275;265;21;272;01/07/2016;3152303;31;3;Porto Fir;10417;4831;5586;Pequeno I;284,777;2;31.08.2019;8/31/2019;1/25/1975;44;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1;2;4;6;3;1;0;0;1;2;0;0;10;12;0
315230;3152303501117; ;1;256;239;142;349;18;01/07/2016;3152303;31;3;Porto Fir;10417;4831;5586;Pequeno I;284,777;2;31.08.2019;8/31/2019;9/20/1981;37;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;2;4;6;3;1;0;0;1;2;0;0;10;12;0
315230;3152303501117; ;1;255;239;138;216;20;01/07/2016;3152303;31;3;Porto Fir;10417;4831;5586;Pequeno I;284,777;2;31.08.2019;8/31/2019;6/10/1965;54;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ;2;4;6;3;1;0;0;1;2;0;0;10;12;0
315230;3152303501117; ;1;256;239;142;220;20;01/07/2016;3152303;31;3;Porto Fir;10417;4831;5586;Pequeno I;284,777;2;31.08.2019;8/31/2019;6/27/1980;39;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;2;4;6;3;1;0;0;1;2;0;0;10;12;0
315230;3152303501117; ;1;257;274;142;218;272;01/07/2016;3152303;31;3;Porto Fir;10417;4831;5586;Pequeno I;284,777;2;31.08.2019;8/31/2019;4/6/1993;26;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1;2;4;6;3;1;0;0;1;2;0;0;10;12;0
315230;3152303501117; ;1;256;239;142;254;272;01/08/2017;3152303;31;3;Porto Fir;10417;4831;5586;Pequeno I;284,777;2;31.08.2019;8/31/2019;8/8/1996;23;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;2;4;6;3;1;0;0;1;2;0;0;10;12;0
315230;3152303501117; ;1;252;239;142;254;272;01/07/2016;3152303;31;3;Porto Fir;10417;4831;5586;Pequeno I;284,777;2;31.08.2019;8/31/2019;1/7/1955;64;5;0;4;1; ; ; ; ; ; ; ; ; ; ;1;2;4;6;3;1;0;0;1;2;0;0;10;12;0
